Genero	Filo
Adlercreutzia	Actinobacteria
Abiotrophia	Firmicutes
Actinobaculum	Actinobacteria
Acidaminococcus	Firmicutes
Acinetobacter	Proteobacteria
Acetivibrio	Firmicutes
Afipia	Proteobacteria
Aggregatibacter	Proteobacteria
Agrobacterium	Proteobacteria
Actinomyces	Actinobacteria
Actinobacillus	Proteobacteria
Akkermansia	Verrucomicrobia
Alistipes	Bacteroidetes
Allofustis	Firmicutes
Alloprevotella	Bacteroidetes
Alloscardovia	Firmicutes
Alterileibacterium	Firmicutes
Anaerococcus	Firmicutes
Anaerofustis	Firmicutes
Anaeroglobus	Firmicutes
Anaerosphaera	Proteobacteria
Anaerosporobacter	Bacteroidetes
Anaerostipes	Firmicutes
Anaerotruncus	Firmicutes
Angelakisella	Bacteroidetes
Asaccharospora	Firmicutes
Atopobium	Actinobacteria
Bacteroides	Bacteroidetes
Bariatricus	Firmicutes
Barnesiella	Actinobacteria
Bergeyella	Bacteroidetes
Bifidobacterium	Actinobacteria
Bilophila	Firmicutes
Bittarella	Firmicutes
Blautia	Firmicutes
Bradyrhizobium	Proteobacteria
Brevibacterium	Actinobacteria
Brevundimonas	Proteobacteria
Bulleidia	Firmicutes
Butyricicoccus	Bacteroidetes
Butyricimonas	Bacteroidetes
Butyrivibrio	Firmicutes
Campylobacter	Proteobacteria
Candidatus Stoquefichus	Firmicutes
Capnocytophaga	Bacteroidetes
Cardiobacterium	Proteobacteria
Catabacter	Firmicutes
Catenibacterium	Firmicutes
Catonella	Firmicutes
Centipeda	Proteobacteria
Christensenella	Firmicutes
Chryseobacterium	Bacteroidetes
Citrobacter	Proteobacteria
Cloacibacillus	Synergistetes
Clostridioides	Firmicutes
Clostridium	Firmicutes
Colibacter	Proteobacteria
Collinsella	Actinobacteria
Comamonas	Proteobacteria
Coprobacillus	Firmicutes
Coprobacter	Firmicutes
Coprococcus	Firmicutes
Corynebacterium	Actinobacteria
Criibacterium	Firmicutes
Cryptobacterium	Actinobacteria
Culturomica	
Delftia	Proteobacteria
Desulfovibrio	Proteobacteria
Dialister	Firmicutes
Dielma	Firmicutes
Dietzia	Actinobacteria
Dorea	Firmicutes
Duodenibacillus	Firmicutes
Eggerthella	Actinobacteria
Eggerthia	Firmicutes
Eikenella	Proteobacteria
Eisenbergiella	Firmicutes
Emergencia	Firmicutes
Empedobacter	Bacteroidetes
Ensifer	Proteobacteria
Enterobacter	Proteobacteria
Enterococcus	Firmicutes
Erysipelatoclostridium	Firmicutes
Escherichia	Proteobacteria
Eubacterium	Firmicutes
Ezakiella	Firmicutes
Faecalibacterium	Firmicutes
Faecalibaculum	Firmicutes
Faecalicoccus	Firmicutes
Faecalitalea	Firmicutes
Fenollaria	Firmicutes
Filifactor	Firmicutes
Fournierella	Firmicutes
Fusicatenibacter	Firmicutes
Fusobacterium	Fusobacteria
Gabonia	Firmicutes
Gabonibacter	Bacteroidetes
Gardnerella	Actinobacteria
Gemella	Firmicutes
Gordonia	Actinobacteria
Gordonibacter	Actinobacteria
Granulicatella	Firmicutes
